Wed Apr  3 22:37:29 2019;1554323849.74358;3.08126
Wed Apr  3 22:37:44 2019;1554323864.9284897;3.08077
Wed Apr  3 22:38:00 2019;1554323880.1094372;3.08026
Wed Apr  3 22:38:15 2019;1554323895.2942579;3.07978
Wed Apr  3 22:38:30 2019;1554323910.4729006;3.07928
Wed Apr  3 22:38:45 2019;1554323925.6485734;3.07878
Wed Apr  3 22:39:00 2019;1554323940.823794;3.07829
Wed Apr  3 22:39:16 2019;1554323956.002907;3.07781
Wed Apr  3 22:39:31 2019;1554323971.180423;3.07732
Wed Apr  3 22:39:46 2019;1554323986.3601625;3.07682
Wed Apr  3 22:40:01 2019;1554324001.5440667;3.07634
Wed Apr  3 22:40:16 2019;1554324016.7245793;3.07586
Wed Apr  3 22:40:31 2019;1554324031.9051888;3.07537
Wed Apr  3 22:40:47 2019;1554324047.0833917;3.07489
Wed Apr  3 22:41:02 2019;1554324062.2635212;3.07441
Wed Apr  3 22:41:17 2019;1554324077.4532888;3.07393
Wed Apr  3 22:41:32 2019;1554324092.6320632;3.07344
Wed Apr  3 22:41:47 2019;1554324107.815653;3.07297
Wed Apr  3 22:42:03 2019;1554324123.0022504;3.07249
Wed Apr  3 22:42:18 2019;1554324138.187638;3.07201
Wed Apr  3 22:42:33 2019;1554324153.3751998;3.07154
Wed Apr  3 22:42:48 2019;1554324168.554966;3.07106
Wed Apr  3 22:43:03 2019;1554324183.7316654;3.07058
Wed Apr  3 22:43:18 2019;1554324198.915209;3.07011
Wed Apr  3 22:43:34 2019;1554324214.0953143;3.06964
Wed Apr  3 22:43:49 2019;1554324229.2801383;3.06916
Wed Apr  3 22:44:04 2019;1554324244.463967;3.0687
Wed Apr  3 22:44:19 2019;1554324259.650354;3.06823
Wed Apr  3 22:44:34 2019;1554324274.82668;3.06776
Wed Apr  3 22:44:50 2019;1554324290.0096884;3.0673
Wed Apr  3 22:45:05 2019;1554324305.1856482;3.06684
Wed Apr  3 22:45:20 2019;1554324320.3707633;3.06637
Wed Apr  3 22:45:35 2019;1554324335.557035;3.06591
Wed Apr  3 22:45:50 2019;1554324350.7431831;3.06545
Wed Apr  3 22:46:05 2019;1554324365.920175;3.06499
Wed Apr  3 22:46:21 2019;1554324381.0987551;3.06454
Wed Apr  3 22:46:36 2019;1554324396.2781835;3.06408
Wed Apr  3 22:46:51 2019;1554324411.4590945;3.06362
Wed Apr  3 22:47:06 2019;1554324426.6352036;3.06317
Wed Apr  3 22:47:21 2019;1554324441.814118;3.06271
Wed Apr  3 22:47:36 2019;1554324456.9932806;3.06226
Wed Apr  3 22:47:52 2019;1554324472.1772614;3.06181
Wed Apr  3 22:48:07 2019;1554324487.3570015;3.06136
Wed Apr  3 22:48:22 2019;1554324502.5394752;3.0609
Wed Apr  3 22:48:37 2019;1554324517.7197068;3.06045
Wed Apr  3 22:48:52 2019;1554324532.89625;3.06001
Wed Apr  3 22:49:08 2019;1554324548.0780957;3.05956
Wed Apr  3 22:49:23 2019;1554324563.25846;3.05912
Wed Apr  3 22:49:38 2019;1554324578.4355154;3.05868
Wed Apr  3 22:49:53 2019;1554324593.621632;3.05823
Wed Apr  3 22:50:08 2019;1554324608.8030362;3.0578
Wed Apr  3 22:50:23 2019;1554324623.9852781;3.05735
Wed Apr  3 22:50:39 2019;1554324639.172839;3.05691
Wed Apr  3 22:50:54 2019;1554324654.353967;3.05647
Wed Apr  3 22:51:09 2019;1554324669.53015;3.05604
Wed Apr  3 22:51:24 2019;1554324684.7138734;3.0556
Wed Apr  3 22:51:39 2019;1554324699.8998895;3.05517
Wed Apr  3 22:51:55 2019;1554324715.0772123;3.05474
Wed Apr  3 22:52:10 2019;1554324730.2628584;3.0543
Wed Apr  3 22:52:25 2019;1554324745.4453735;3.05387
Wed Apr  3 22:52:40 2019;1554324760.6206565;3.05344
Wed Apr  3 22:52:55 2019;1554324775.8002875;3.05301
Wed Apr  3 22:53:10 2019;1554324790.983576;3.05258
Wed Apr  3 22:53:26 2019;1554324806.1633487;3.05215
Wed Apr  3 22:53:41 2019;1554324821.3347557;3.05172
Wed Apr  3 22:53:56 2019;1554324836.5076866;3.0513
